ano,todos_niveis,educacao_basica,infantil,fundamental_iniciais,fundamental_finais,ensino_medio,superior,decada
2000,3.8839983002972254,3.1679596785884456,0.33442870640773986,1.294598182833045,1.0339617032390225,0.5049710861086384,0.7160386217087792,2000
2001,4.0065651566723455,3.269946595603222,0.3196217693107223,1.2425287928227855,1.113917226410535,0.5938788070591785,0.7366185610691242,2000
2002,4.0571242189010075,3.2831529258285834,0.30775080393664683,1.4398200722845877,1.1074245889309255,0.42815746067642346,0.7739712930724242,2000
2003,3.8229817724019024,3.130648303398458,0.345736823537591,1.2890126686313945,1.0193257412914463,0.47657306993802584,0.6923334690034447,2000
2004,3.8267374499581193,3.188244463474499,0.35097538304882153,1.3417273461453618,1.0668240822395667,0.42871765204074885,0.6384929864836203,2000
2005,3.8557545091678627,3.1807524113493306,0.3261433281925885,1.3411470040950555,1.0831127784419532,0.43034930061973387,0.6750020978185323,2000
2006,4.226015327196732,3.571224817368795,0.32532647781316065,1.3782078357739467,1.3115511452793664,0.5561393585023204,0.649999,2000
2007,4.395616580651352,3.712343948338852,0.3561049617634845,1.4335611221478475,1.328876475946545,0.5938013884809751,0.6832726323125,2000
2008,4.580533255959288,3.904505385273289,0.35553015330030696,1.490319507347504,1.4237377015172201,0.6349180231082577,0.6760278706859995,2000
2009,4.813095466085147,4.082643839498166,0.3458851198446429,1.5840780775211234,1.5076382085076965,0.6450424336247036,0.7304516265869809,2000
2010,4.904045347729734,4.142828610076111,0.3808498843770603,1.567404734586815,1.4664903150651567,0.7280836760470785,0.7612167376536234,2010
2011,4.98673814765545,4.157335376917877,0.4342374055333319,1.4863683816663673,1.3859323947345288,0.8507971949836498,0.8294027707375723,2010
2012,5.032464558761333,4.249999,0.5094442718816246,1.4846575403295892,1.3336176010495346,0.9277828761094472,0.7769622693911382,2010
2013,5.059661709285696,4.282400475240458,0.5493348163193669,1.4599816086559108,1.3437427875562697,0.9293412627089096,0.7772612340452397,2010
2014,4.999827337187983,4.245573627323808,0.5722535027970506,1.4398442688010769,1.2938866086167298,0.9395892471089511,0.7542537098641747,2010
2015,5.084179584222815,4.223873570046698,0.604233451634423,1.408625311707805,1.250231179119413,0.9607836275850568,0.8603060141761174,2010
2016,5.177914284121133,4.270158350210363,0.6117761887762065,1.4283644941627556,1.2146174849622993,1.015400182309102,0.90775593391077,2010
2017,5.158192919502528,4.131224157958025,0.5844853204606957,1.3890782313838772,1.1579317040115702,0.9997289021018819,1.0269687615445031,2010
2018,5.161871428803142,4.184084737131357,0.6291690369069523,1.3814241797095275,1.1541788960427413,1.019312624472137,0.9777866916717848,2010
2019,4.978179807731122,3.9998769056070165,0.620884227982011,1.3385989009349644,1.1069432716760834,0.9334505050139575,0.9783029021241058,2010
2020,4.881587923381488,3.9611441019806963,0.7964705694664251,1.2053079301045775,1.0968022462950404,0.8625633561146536,0.9204438214007916,2020
2021,4.675040149944375,3.85537041327134,0.7714040994915525,1.1652351429882042,1.0592076704960929,0.8595235002954902,0.819669736673035,2020
